iter	RMSE
531	3.504549876
532	3.501149651
533	3.49853935
534	3.496683991
535	3.493387966
536	3.488741152
537	3.484062803
538	3.481121918
539	3.480176539
540	3.474182207
541	3.471763672
542	3.46907349
543	3.467023381
544	3.466071793
545	3.460133866
546	3.456093351
547	3.454421817
548	3.451398639
549	3.447179601
550	3.445704939
551	3.444564143
552	3.444146774
553	3.443581933
554	3.442413284
555	3.439326433
556	3.437129598
557	3.43150195
558	3.430084991
559	3.428665399
560	3.42442519
561	3.422446416
562	3.418269859
563	3.418058213
564	3.414490324
565	3.413034416
566	3.411506616
567	3.407896267
568	3.407186832
569	3.405135528
570	3.401364125
571	3.399609108
572	3.397354543
573	3.393549597
574	3.389949392
575	3.388800062
576	3.387081796
577	3.381968108
578	3.377528407
579	3.376446937
580	3.374907284
581	3.372568178
582	3.370979242
583	3.369416575
584	3.365746551
585	3.364088518
586	3.361277119
587	3.355503218
588	3.353760017
589	3.352136081
590	3.349131441
591	3.347953084
592	3.344616715
593	3.343830591
594	3.339651759
595	3.335598553
596	3.330842671
597	3.329927946
598	3.328846626
599	3.327670438
600	3.324145111
601	3.319143178
602	3.315149516
603	3.312048853
604	3.30883506
605	3.304899634
606	3.300337836
607	3.297533896
608	3.297504158
609	3.295721861
610	3.290782797
611	3.286844723
612	3.286243575
613	3.284790546
614	3.282146027
615	3.281078223
616	3.276992718
617	3.271586053
618	3.267978631
619	3.264383285
620	3.26335797
621	3.260261139
622	3.258571356
623	3.253480116
624	3.252482265
625	3.24873345
626	3.246549116
627	3.241978311
628	3.2378745
629	3.235755958
630	3.232466763
631	3.230723149
632	3.227563828
633	3.224753623
634	3.222757854
635	3.220396537
636	3.217550239
637	3.214698202
638	3.211622289
639	3.21139446
640	3.210186169
641	3.205973789
642	3.204835572
643	3.203937133
644	3.201675221
645	3.199550321
646	3.197898311
647	3.19393485
648	3.193515455
649	3.190600565
650	3.189224374
651	3.187574672
652	3.186604006
653	3.185311114
654	3.181101995
655	3.177531033
656	3.175482442
657	3.173202831
658	3.171751775
659	3.167124304
660	3.164698497
661	3.164303406
662	3.160225265
663	3.156096799
664	3.151885311
665	3.149770205
666	3.14644219
667	3.145847591
668	3.144903103
669	3.144444675
670	3.143388022
671	3.142664583
672	3.139102662
673	3.138034414
674	3.136702648
675	3.133079929
676	3.132243602
677	3.13097913
678	3.130619945
679	3.130104963
680	3.1286245
681	3.127731694
682	3.126379933
683	3.12463164
684	3.121415418
685	3.118799787
686	3.116526462
687	3.114852259
688	3.113290303
689	3.110263574
690	3.108286734
691	3.105589178
692	3.105563157
693	3.102297566
694	3.101228812
695	3.097227906
696	3.094053411
697	3.092151905
698	3.090050656
699	3.087965104
700	3.08584415
701	3.084441234
702	3.083181834
703	3.079353858
704	3.077229356
705	3.072611188
706	3.069137204
707	3.066082564
708	3.063017039
709	3.060860405
710	3.057250354
711	3.056298434
712	3.053686454
713	3.049128124
714	3.047479132
715	3.045130228
716	3.041741837
717	3.038259071
718	3.035803621
719	3.032023624
720	3.029631416
721	3.026778788
722	3.022711177
723	3.019557047
724	3.018151701
725	3.016236577
726	3.015749361
727	3.013261219
728	3.012173943
729	3.011679307
730	3.009821013
731	3.008665046
732	3.005613347
733	3.002890305
734	3.001280308
735	2.998868758
736	2.99796825
737	2.995603849
738	2.994076476
739	2.992986685
740	2.990917375
741	2.989939965
742	2.989090026
743	2.985490968
744	2.983741664
745	2.983102364
746	2.979475077
747	2.975899186
748	2.9741483
749	2.972589489
750	2.972001553
751	2.968007674
752	2.966833171
753	2.964282142
754	2.963537638
755	2.963342062
756	2.963108422
757	2.962710368
758	2.958832686
759	2.954000562
760	2.95103191
761	2.949249889
762	2.947055236
763	2.943877073
764	2.942664469
765	2.941769915
766	2.940049763
767	2.937712906
768	2.935351074
769	2.933673035
770	2.929466934
771	2.928226776
772	2.926716151
773	2.926702828
774	2.923535191
775	2.922459586
776	2.918717701
777	2.916008837
778	2.914122159
779	2.913802037
780	2.909491507
781	2.905482198
782	2.903210285
783	2.900278943
784	2.899315149
785	2.895637028
786	2.892957488
787	2.890875929
788	2.890008031
789	2.889010228
790	2.885171264
791	2.883758168
792	2.882955338
793	2.881761738
794	2.880022723
795	2.876622097
796	2.875577532
797	2.875433715
798	2.874685695
799	2.87152717
800	2.870094753
801	2.868629592
802	2.86574229
803	2.864911445
804	2.863830914
805	2.861415174
806	2.8594849
807	2.858204282
808	2.857526584
809	2.856476324
810	2.855578333
811	2.854733632
812	2.852399571
813	2.850159991
814	2.847063996
815	2.843897015
816	2.841814393
817	2.841073669
818	2.837976063
819	2.8361889
820	2.834174167
821	2.832541438
822	2.831140335
823	2.829205469
824	2.827302841
825	2.825864441
826	2.824732048
827	2.824103338
828	2.822935909
829	2.821098325
830	2.820710509
831	2.817626987
832	2.816177244
833	2.814857821
834	2.811845026
835	2.81068229
836	2.809315135
837	2.808727383
838	2.807295924
839	2.805341726
840	2.803267764
841	2.799661824
842	2.797276708
843	2.796693484
844	2.794983986
845	2.7938675
846	2.792757996
847	2.79091127
848	2.78925918
849	2.786799282
850	2.786316961
851	2.782832331
852	2.7798523
853	2.77648591
854	2.77426131
855	2.772061333
856	2.771337108
857	2.770630451
858	2.7682116
859	2.767494838
860	2.766315763
861	2.76463667
862	2.76202807
863	2.760206795
864	2.756985996
865	2.756271645
866	2.751992305
867	2.750153612
868	2.747389769
869	2.745274494
870	2.743413289
871	2.742383341
872	2.741300411
873	2.740745551
874	2.740143612
875	2.739644995
876	2.738519349
877	2.737867025
878	2.735269543
879	2.732055886
880	2.732003886
881	2.730125592
882	2.728405744
883	2.727911489
884	2.726091833
885	2.725827897
886	2.725667308
887	2.723553023
888	2.722093401
889	2.72122097
890	2.719886513
891	2.717458721
892	2.714377617
893	2.712817703
894	2.710430005
895	2.708007076
896	2.705696999
897	2.701099392
898	2.700868248
899	2.699066576
900	2.695539739
901	2.693760449
902	2.691411152
903	2.690553266
904	2.688620641
905	2.686175314
906	2.684467223
907	2.683515646
908	2.681237631
909	2.679199456
910	2.679028424
911	2.677844521
912	2.677684824
913	2.676940581
914	2.675425168
915	2.674118475
916	2.672482388
917	2.670832241
918	2.670360097
919	2.669359876
920	2.667199969
921	2.6642108
922	2.661615807
923	2.659132139
924	2.657000321
925	2.655594488
926	2.653269457
927	2.652069275
928	2.650412109
929	2.648825677
930	2.64685736
931	2.644647533
932	2.643101786
933	2.64072182
934	2.636246907
935	2.632208404
936	2.63124666
937	2.630775592
938	2.629852615
939	2.62891248
940	2.626927238
941	2.626534282
942	2.623796089
943	2.621840213
944	2.621098176
945	2.620141515
946	2.619616292
947	2.617185349
948	2.614106613
949	2.61375304
950	2.613043861
951	2.611847224
952	2.608724417
953	2.606481371
954	2.605284421
955	2.601989727
956	2.601291374
957	2.598810334
958	2.598271995
959	2.595801626
960	2.594419184
961	2.593971876
962	2.59232616
963	2.590874232
964	2.58963576
965	2.588893862
966	2.587138402
967	2.583965106
968	2.582619677
969	2.580944879
970	2.580897978
971	2.579357067
972	2.579033473
973	2.577007419
974	2.57633727
975	2.573174219
976	2.570515666
977	2.569284446
978	2.56876845
979	2.567266323
980	2.565317357
981	2.564377952
982	2.563072459
983	2.562309758
984	2.560908643
985	2.558464712
986	2.557151646
987	2.556103857
988	2.552173052
989	2.551496361
990	2.549490724
991	2.548898751
992	2.546526304
993	2.546124046
994	2.542221262
995	2.541366407
996	2.540051728
997	2.539176319
998	2.536127469
999	2.534844221
